name,ingredients
cajun martini,"martini extra dry vermouth, pepper flavoured vodka"
california root beer,"coffee liqueur, galliano l'autentico liqueur, soda water, vodka"
call me old-fashioned,"angostura aromatic bitters, cognac, sugar syrup"
calvados cocktail,"avallen calvados, orange bitters, orange juice, triple sec"
cameron's kick,"chilled water, irish whiskey, lemon juice, orgeat syrup, whisky"
camomile & blackthorn breeze,"blackthorn berry liqueur, camomile tea, lime flavoured vodka"
canarie,"chilled water, lemon syrup, ricard pastis"
canaries,"banana liqueur, cherry heering cherry brandy liqueur, light rum, orange juice, pineapple juice, triple sec"
canary flip,"lemon juice, sauvignon blanc wine, warninks advocaat liqueur"
canteen martini,"disaronno amaretto, light rum, lime juice, liqueur"
cape codder,"cranberry juice, lime juice, vodka"
capercaillie,"apricot brandy liqueur, honey syrup, lemon juice, pineapple juice, triple sec, whisky"
captain collins,"canadian blended whisky, lemon juice, soda water, sugar syrup"
caramel manhattan,"bourbon whiskey, caramel toffee liqueur, peychaud's or other creole-style bitters, pineapple juice, sweet vermouth"
caravan,"cola, orange liqueur, shiraz red wine"
cardinal punch,"noir de bourgogne cassis, shiraz red wine"
