name,ingredients
caribbean breeze,"banana liqueur, cranberry juice, light rum, lime cordial, pineapple juice"
caribbean cruise,"coconut rum liqueur, grenadine syrup, light rum, pineapple juice"
caribbean pina colada,"angostura aromatic bitters, cream of coconut, light rum, pineapple juice, salt"
caribbean punch,"coconut rum liqueur, disaronno amaretto, galliano l'autentico liqueur, grenadine syrup, lemon juice, pineapple juice, white overproof rum"
carol channing,"brut champagne, creme de framboise, framboise eau-de-vie"
carrot cake,"cinnamon schnapps & goldwasser liqueurs, coffee liqueur, irish cream liqueur"
casablanca no.2,"citroen vodka, galliano l'autentico liqueur, orange juice, single cream / half-and-half, warninks advocaat liqueur"
casanova,"bourbon whiskey, coffee liqueur, milk, rainwater/verdelho med-dry madeira, single cream / half-and-half, sugar syrup"
cascade cocktail,"cranberry juice, framboise de ronce, lemon juice, raspberries, vanilla sugar syrup, vodka"
casino,"lemon juice, luxardo maraschino liqueur, orange bitters, portobello old tom gin"
cassini,"cranberry juice, dry gin, noir de bourgogne cassis, vodka"
castro,"avallen calvados, lime cordial, lime juice, orange juice, rum, sugar syrup"
causeway,"angostura aromatic bitters, drambuie liqueur, ginger ale, irish whiskey, lemon juice, orange bitters"
celery cocktail,"freshly extracted celery juice, sugar syrup, vodka"
celtic margarita,"difford's margarita bitters, lemon juice, sugar syrup, triple sec, whisky"
cham 69 #1,"disaronno amaretto, framboise de ronce, lemon-lime soda, lime juice, vodka"
cham 69 #2,"brut champagne, disaronno amaretto, framboise de ronce, lime juice, vodka"
champagne cocktail,"angostura aromatic bitters, brut champagne, cognac, sugar cube"
champagne cup,"brut champagne, cognac, orange liqueur, syrup from luxardo maraschino cherries"
champagne daisy,"brut champagne, grenadine syrup, lemon juice, yellow chartreuse liqueur"
champs-elysees cocktail,"angostura aromatic bitters, chilled water, cognac, green chartreuse liqueur, lemon juice, sugar syrup"
charles daiquiri,"chilled water, light rum, lime juice, navy rum, sugar syrup, triple sec"
chas,"benedictine d.o.m., bourbon whiskey, disaronno amaretto, orange liqueur, triple sec"
cheeky monkey,"orange bitters, orange juice, vodka, yellow chartreuse liqueur"
chelsea sidecar,"dry gin, lemon juice, sugar syrup, triple sec"
cherrute,"cherry heering cherry brandy liqueur, grapefruit juice, vodka"
cherry alexander,"cherry heering cherry brandy liqueur, dutch cacao white creme de cacao, single cream / half-and-half, vanilia vodka"
cherry blossom,"cherry heering cherry brandy liqueur, kirschwasser eau-de-vie, lemon juice, syrup from luxardo maraschino cherries, triple sec"
cherry daiquiri,"cherries, cherry heering cherry brandy liqueur, chilled water, light rum, lime juice, syrup from luxardo maraschino cherries"
cherry martini,"cherry heering cherry brandy liqueur, dry gin, martini extra dry vermouth, orange bitters"
cherry mash sour,"cherry heering cherry brandy liqueur, daddy rack tennessee whiskey, lemon juice, sugar syrup"
che's revolution,"light rum, maple syrup, mint leaves, pineapple juice"
chiclet daiquiri,"banana liqueur, creme de menthe, light rum, lime juice, sugar syrup"
chihuahua margarita,"agave syrup, angostura aromatic bitters, grapefruit juice, tequila"
chill-out cocktail,"coconut rum liqueur, irish cream liqueur, orange juice, oranje vodka"
chimayo,"apple juice, lemon juice, noir de bourgogne cassis, tequila"
chin chin,"apple juice, brut champagne, honey, whisky"
china beach,"cranberry juice, ginger liqueur, vodka"
china blue,"blue curacao, grapefruit juice, kwai feh lychee liqueur"
china blue cocktail,"blue curacao, grapefruit juice, kwai feh lychee liqueur, lemon juice"
china martini,"dry gin, kwai feh lychee liqueur, martini extra dry vermouth, triple sec"
chinese cosmopolitan,"cranberry juice, honey liqueur, kwai feh lychee liqueur, lime juice"
chinese whisper,"citroen vodka, ginger sugar syrup, kwai feh lychee liqueur, lime juice, root ginger"
choc & nut cocktail,"chilled water, dutch cacao white creme de cacao, hazelnut liqueur, vodka"
chocolate & cranberry cocktail,"cranberry juice, dutch cacao white creme de cacao, martini extra dry vermouth, vanilia vodka"
chocolate biscuit,"brown creme de cacao, coffee liqueur, cognac"
chocolate martini,"dutch cacao white creme de cacao, martini extra dry vermouth, vodka"
chocolate mint martini,"creme de menthe, dutch cacao white creme de cacao, martini extra dry vermouth, vodka"
chocolate puff,"dutch cacao white creme de cacao, greek yogurt, orange, rum, sugar syrup"
chocolate sazerac,"absinthe, bourbon whiskey, dutch cacao white creme de cacao, peychaud's or other creole-style bitters, sugar syrup"
chocolate sidecar,"brown creme de cacao, cognac, lime juice, sugar syrup, tawny port"
cicada cocktail,"bourbon whiskey, disaronno amaretto, single cream / half-and-half, sugar syrup"
cider apple cooler,"apple juice, apple schnapps liqueur, avallen calvados"
cider apple cocktail,"apple juice, apple schnapps liqueur, avallen calvados, lemon juice, sugar syrup"
cinderella (non-alcoholic),"angostura aromatic bitters, grenadine syrup, lemon juice, orange juice, pineapple juice, soda water"
cinnamon daiquiri,"cinnamon schnapps & goldwasser liqueurs, light rum, lime juice"
citrus caipirovska,"citroen vodka, lemon, sugar syrup"
citrus martini,"citroen vodka, lemon juice, orange bitters, sugar syrup, triple sec"
claret cobbler,"cognac, orange liqueur, shiraz red wine"
claridge cocktail,"apricot brandy liqueur, dry gin, martini extra dry vermouth, triple sec"
classic cocktail,"chilled water, cognac, lemon juice, luxardo maraschino liqueur, orange liqueur"
clementine,"mandarine napoleon liqueur, pallini limoncello liqueur"
clipper cocktail,"grenadine syrup, light rum, martini extra dry vermouth"
clockwork orange,"cognac, orange juice, orange liqueur"
clover leaf cocktail no.1 (classic formula),"dry gin, grenadine syrup, lemon juice, pasteurised egg white"
club cocktail (butt's recipe),"angostura aromatic bitters, chilled water, martini extra dry vermouth, rum, sweet vermouth, syrup from luxardo maraschino cherries"
cobbled raspberry,"creme de framboise, raspberries, shiraz red wine, sugar syrup, vodka"
coco cabana,"coconut rum liqueur, green melon liqueur, milk, pineapple juice, single cream / half-and-half"
coco naut,"cream of coconut, lime juice, white overproof rum"
coconut daiquiri,"coconut rum liqueur, coconut sugar syrup, light rum, lime juice"
coconut water,"chilled water, coconut rum liqueur, coconut sugar syrup, vodka"
coffee & vanilla daiquiri,"chilled water, coffee liqueur, light rum, lime juice, sugar syrup"
cola de mono,"barsol mosto verde italia pisco, cinnamon stick, coffee liqueur, espresso coffee"
cold comfort,"honey syrup, lime juice, white overproof rum"
collar & cuff,"boiling water, ginger liqueur, honey, lemon juice, whisky"
collection cocktail,"benedictine d.o.m., citroen vodka, creme de mure liqueur, lime juice, vodka"
genever collins,"lemon juice, old simon genever, soda water, sugar syrup"
colonel collins,"bourbon whiskey, lemon juice, soda water, sugar syrup"
colonel t,"apricot brandy liqueur, bourbon whiskey, pineapple juice"
colonial rot,"absinthe, citroen vodka, lemon-lime soda, lime juice, mint leaves, soda water, sugar syrup"
colorado bulldog,"coffee liqueur, cola, single cream / half-and-half, vodka"
congo blue,"apple juice, bison grass vodka, creme de mure liqueur, green melon liqueur, lemon juice"
cool martini,"cranberry juice, green melon liqueur, tequila"
cool orchard,"ginger sugar syrup, lime juice, orgeat syrup, pineapple juice, root ginger, rum, vanille de madagascar"
coolman cocktail,"apple juice, lemon juice, triple sec, vodka"
copper illusion,"dry gin, italian red bitter liqueur, triple sec"
cordless screwdriver,"brut champagne, oranje vodka"
coronation,"angostura aromatic bitters, fino sherry, luxardo maraschino liqueur, martini extra dry vermouth, sauvignon blanc wine, soda water"
coronation cocktail no.1,"fino sherry, luxardo maraschino liqueur, martini extra dry vermouth, orange bitters, sugar syrup"
corpse reviver no.1 (savoy recipe),"avallen calvados, chilled water, cognac, sweet vermouth"
cosmopolitan cocktail (difford's recipe),"cranberry juice, lime juice, orange bitters, triple sec, vodka"
cosmopolitan cocktail (dale degroff's recipe),"citroen vodka, cranberry juice, lime juice, triple sec"
cosmopolitan delight,"cognac, lemon juice, orange liqueur, orgeat syrup, shiraz red wine, sugar syrup"
country breeze,"apple juice, dry gin, noir de bourgogne cassis"
cowboy hoof martini,"dry gin, mint leaves, orange bitters, sugar syrup"
cox's daiquiri,"difford's daiquiri bitters, lime juice, pineapple juice, rum, vanilla sugar syrup"
cranapple breeze,"apple juice, citroen vodka, cranberry juice, ginger ale, lime juice, triple sec"
cranberry cooler,"cranberry juice, disaronno amaretto, orange juice"
cranberry & mint cocktail,"cranberry juice, grenadine syrup, mint leaves, vodka"
cranberry sauce,"cranberry juice, cranberry liqueur, lime juice, vodka"
creamsicle,"milk, orange liqueur, oranje vodka, single cream / half-and-half, sugar syrup"
creamy bee,"cinnamon schnapps & goldwasser liqueurs, framboise de ronce, hazelnut liqueur, honey liqueur, irish cream liqueur"
creamy creamsicle,"disaronno amaretto, milk, orange juice, oranje vodka, single cream / half-and-half"
cream cake,"disaronno amaretto, irish cream liqueur, peachtree peach schnapps, single cream / half-and-half"
creme anglaise cocktail,"single cream / half-and-half, vanilia vodka, warninks advocaat liqueur"
creme brulee cocktail,"caramel toffee liqueur, egg yolk, licor 43 original liqueur, single cream / half-and-half, vanilia vodka"
creme de cafe,"coffee liqueur, luxardo sambuca, rum, single cream / half-and-half"
crimson blush,"citroen vodka, framboise de ronce, grapefruit juice, sugar syrup"
crouching tiger,"kwai feh lychee liqueur, tequila"
crown stag,"framboise de ronce, jagermeister, vodka"
cuba libre,"angostura aromatic bitters, cola, lime juice, rum"
cuban master,"cognac, lemon juice, light rum, orange juice, pineapple juice, sugar syrup"
cuban special,"light rum, lime juice, pineapple juice, triple sec"
cubanita,"black pepper, celery salt, horseradish sauce, hot pepper sauce, lemon juice, light rum, tomato juice, worcestershire sauce"
cucumber martini,"bison grass vodka, cucumber, sugar syrup, vodka"
cucumber & mint martini,"apple juice, cucumber, mint leaves, sugar syrup, vodka"
cucumber sake-tini,"cucumber, sake, sugar syrup, vodka"
cumbersome,"cucumber, dry gin, italian red bitter liqueur, orange juice, sugar syrup"
cuppa joe,"espresso coffee, hazelnut liqueur, vodka"
curdish cocktail,"dry gin, lemon curd, lime juice, sour apple liqueur"
custard tart,"light rum, lime juice, peachtree peach schnapps, physalis fruits, warninks advocaat liqueur"
absinthe cocktail (jerry thomas),"absinthe, angostura aromatic bitters, anisette liqueur, chilled water"
absinthe drip cocktail (french method),"absinthe, chilled water, sugar cube"
absinthe drip cocktail (czech method),"absinthe, chilled water, white caster sugar"
absinthe italiano cocktail,"absinthe, anisette liqueur, chilled water, luxardo maraschino liqueur"
absinthe special cocktail,"absinthe, angostura aromatic bitters, anisette liqueur, chilled water, dry gin, orange bitters"
adelaide swizzle,"difford's falernum liqueur, light rum, lime juice, peychaud's or other creole-style bitters"
adios amigos cocktail,"chilled water, cognac, dry gin, light rum, lime juice, martini extra dry vermouth, sugar syrup"
aku aku,"light rum, lime juice, mint leaves, peachtree peach schnapps, pineapple juice, sugar syrup"
alaska (straub's 1914 recipe),"chilled water, orange bitters, portobello old tom gin, yellow chartreuse liqueur"
alfonso martini,"angostura aromatic bitters, chilled water, dry gin, martini extra dry vermouth, orange liqueur, sweet vermouth"
algeria,"apricot brandy liqueur, barsol mosto verde italia pisco, orange bitters, orange juice, sugar syrup, triple sec"
allegrottini,"citroen vodka, lime juice, martini bianco vermouth, orange juice, triple sec, vodka"
alien secretion,"coconut rum liqueur, green melon liqueur, pineapple juice, vodka"
american beauty (by trader vic),"cognac, creme de menthe, grenadine syrup, martini extra dry vermouth, orange juice, tawny port"
amsterdam cocktail,"old simon genever, orange bitters, orange juice, triple sec"
angel face,"apricot brandy liqueur, avallen calvados, chilled water, dry gin"
angel's share no.1,"cognac, lemon juice, licor 43 original liqueur, orange marmalade, sugar syrup"
angel's share no.2,"cognac, green chartreuse liqueur, nocello walnut liqueur, tawny port"
ante,"angostura aromatic bitters, avallen calvados, dubonnet red, triple sec"
apple & elderflower cocktail,"apple juice, st-germain elderflower liqueur, vodka"
apple blossom cocktail,"avallen calvados, orange bitters, sweet vermouth"
apple manhattan #2,"apple schnapps liqueur, bourbon whiskey, sweet vermouth, triple sec"
the argyll,"liqueur, orange bitters, sweet vermouth"
armillita chico,"grenadine syrup, lime juice, orange flower/blossom water, tequila"
army & navy,"angostura aromatic bitters, dry gin, lemon juice, orgeat syrup"
asylum cocktail,"dry gin, grenadine syrup, pernod anise"
the atty cocktail,"absinthe, creme de violette liqueur, dry gin, martini extra dry vermouth"
aviation cocktail (savoy spec.),"chilled water, dry gin, lemon juice, luxardo maraschino liqueur"
bahia,"cream of coconut, light rum, pineapple juice"
bajan daiquiri,"chilled water, difford's falernum liqueur, lime juice, powdered sugar, rum"
banana cow,"angostura aromatic bitters, banana, light rum, milk, sugar syrup, vanilla extract"
barranquilla green jade,"dry gin, milk, pasteurised egg white, peppermint pastille creme de menthe, single cream / half-and-half"
basil gimlet,"basil leaves, dry gin, lime cordial, lime juice, sugar syrup"
basilian,"basil leaves, cachaca, cucumber, ginger ale, lime juice, orange liqueur, sugar syrup"
batanga,"cola, lime juice, patron silver blanco tequila, salt"
bensonhurst,"cynar or other carciofo amaro, luxardo maraschino liqueur, martini extra dry vermouth, straight rye whiskey"
bermuda cocktail,"dry gin, grenadine syrup, orange juice, peachtree peach schnapps"
bermuda rose cocktail,"apricot brandy liqueur, chilled water, dry gin, grenadine syrup"
bermuda rum swizzle,"angostura aromatic bitters, dark/black/blackstrap rum, difford's falernum liqueur, grapefruit juice, lemon juice, lime juice, orange juice, pineapple juice, rum"
